iteracion,a,b,c,f(c),error_x,decision
1,100.0,1100.0,600.0,1678.0,500.0,CONTINUAR
2,100.0,600.0,350.0,310.3529411764706,250.0,CONTINUAR
3,100.0,350.0,225.0,33.769230769230774,125.0,CONTINUAR
4,100.0,225.0,162.5,-45.64457831325302,62.5,CONTINUAR
5,162.5,225.0,193.75,-10.08229813664596,31.25,CONTINUAR
6,193.75,225.0,209.375,10.758280757097793,15.625,CONTINUAR
7,193.75,209.375,201.5625,0.07306338028169534,7.8125,CONTINUAR
8,193.75,201.5625,197.65625,-5.070075019485586,3.90625,CONTINUAR
9,197.65625,201.5625,199.609375,-2.5149660777040026,1.953125,CONTINUAR
10,199.609375,201.5625,200.5859375,-1.225078476157904,0.9765625,CONTINUAR
11,200.5859375,201.5625,201.07421875,-0.5770408428243172,0.48828125,CONTINUAR
12,201.07421875,201.5625,201.318359375,-0.25224724444458957,0.244140625,CONTINUAR
13,201.318359375,201.5625,201.4404296875,-0.08965658407646515,0.1220703125,CONTINUAR
14,201.4404296875,201.5625,201.50146484375,-0.00831276786016133,0.06103515625,CUMPLE TOL_F
15,201.50146484375,201.5625,201.531982421875,0.03237126434953552,0.030517578125,CONTINUAR
16,201.50146484375,201.531982421875,201.5167236328125,0.012028237825688848,0.0152587890625,CONTINUAR
17,201.50146484375,201.5167236328125,201.50909423828125,0.0018574823838264365,0.00762939453125,PARAR
