iteracion,a,b,c,f(c),error_x,decision
1,100.0,1100.0,102.61152882205515,-93.21586532826225,1000.0,CONTINUAR
2,102.61152882205515,1100.0,105.17478531046412,-91.68903716314469,2.5632564884089675,CONTINUAR
3,105.17478531046412,1100.0,107.68968324595622,-90.14897460986161,2.514897935492101,CONTINUAR
4,107.68968324595622,1100.0,110.15619339547582,-88.59781832080992,2.466510149519607,CONTINUAR
5,110.15619339547582,1100.0,112.57434141649652,-87.03765867949281,2.4181480210206985,CONTINUAR
6,112.57434141649652,1100.0,114.94420569878537,-85.47053167279725,2.3698642822888445,CONTINUAR
7,114.94420569878537,1100.0,117.26591515548942,-83.89841517948727,2.321709456704056,CONTINUAR
8,117.26591515548942,1100.0,119.53964697496869,-82.32322567257842,2.2737318194792664,CONTINUAR
9,119.53964697496869,1100.0,121.76562434430305,-80.74681533054982,2.225977369334359,CONTINUAR
10,121.76562434430305,1100.0,123.94411415486839,-79.17096954986778,2.1784898105653383,CONTINUAR
11,123.94411415486839,1100.0,126.07542469981172,-77.59740484904674,2.1313105449433323,CONTINUAR
12,126.07542469981172,1100.0,128.15990337266615,-76.02776715246765,2.0844786728544307,CONTINUAR
13,128.15990337266615,1100.0,130.1979343757416,-74.46363044040791,2.038031003075446,CONTINUAR
14,130.1979343757416,1100.0,132.1899364463085,-72.90649575021415,1.9920020705669117,CONTINUAR
15,132.1899364463085,1100.0,134.13636060797086,-71.35779051226123,1.9464241616623497,CONTINUAR
16,134.13636060797086,1100.0,136.03768795400143,-69.81886820328413,1.9013273460305697,CONTINUAR
17,136.03768795400143,1100.0,137.894427468795,-68.29100829883436,1.85673951479356,CONTINUAR
18,137.894427468795,1100.0,139.70711389298776,-66.77541650598695,1.8126864241927763,CONTINUAR
19,139.70711389298776,1100.0,141.4763056371951,-65.2732252569999,1.7691917442073475,CONTINUAR
20,141.4763056371951,1100.0,143.20258274874237,-63.7854944443866,1.7262771115472617,CONTINUAR
21,143.20258274874237,1100.0,144.88654493520357,-62.31321237779609,1.6839621864612013,CONTINUAR
22,144.88654493520357,1100.0,146.52880964802662,-60.857296943182405,1.6422647128230494,CONTINUAR
23,146.52880964802662,1100.0,148.13001022900946,-59.418596944978844,1.6012005809828338,CONTINUAR
24,148.13001022900946,1100.0,149.690794121905,-57.99789361234846,1.5607838928955289,CONTINUAR
25,149.690794121905,1100.0,151.2118211509707,-56.595902251055435,1.5210270290657206,CONTINUAR
26,151.2118211509707,1100.0,152.69376186784675,-55.213274023067555,1.4819407168760392,CONTINUAR
27,152.69376186784675,1100.0,154.13729596773985,-53.850597836653165,1.4435340998930997,CONTINUAR
28,154.13729596773985,1100.0,155.54311077551486,-52.50840233045518,1.405814807775016,CONTINUAR
29,155.54311077551486,1100.0,156.91189980194707,-51.18715793580222,1.3687890264322107,CONTINUAR
30,156.91189980194707,1100.0,158.2443613700681,-49.887279002337394,1.3324615681210332,CONTINUAR
31,158.2443613700681,1100.0,159.54119731124612,-48.60912597289973,1.296835941178017,CONTINUAR
32,159.54119731124612,1100.0,160.80311173037526,-47.35300759446848,1.2619144191291412,CONTINUAR
33,160.80311173037526,1100.0,162.03080983931042,-46.11918315286886,1.227698108935158,CONTINUAR
34,162.03080983931042,1100.0,163.2249968574695,-44.907864719829846,1.1941870181590843,CONTINUAR
35,163.2249968574695,1100.0,164.3863769783354,-43.71921940187313,1.1613801208658856,CONTINUAR
36,164.3863769783354,1100.0,165.51565240042402,-42.55337158138781,1.1292754220886252,CONTINUAR
37,165.51565240042402,1100.0,166.61352242113983,-41.410405141106864,1.097870020715817,CONTINUAR
38,166.61352242113983,1100.0,167.68068259181683,-40.29036566403768,1.067160170676999,CONTINUAR
39,167.68068259181683,1100.0,168.71782393213897,-39.193262601709705,1.0371413403221368,CONTINUAR
40,168.71782393213897,1100.0,169.72563220204734,-38.11907140438356,1.0078082699083666,CONTINUAR
41,169.72563220204734,1100.0,170.7047872291733,-37.067735607611155,0.9791550271259553,CONTINUAR
42,170.7047872291733,1100.0,171.65596228978316,-36.03916887024887,0.9511750606098701,CONTINUAR
43,171.65596228978316,1100.0,172.57982354118113,-35.03325695969819,0.923861251397966,CONTINUAR
44,172.57982354118113,1100.0,173.47702950349156,-34.049859680784465,0.8972059623104371,CONTINUAR
45,173.47702950349156,1100.0,174.34823058872914,-33.08881274527846,0.8712010852375727,CONTINUAR
46,174.34823058872914,1100.0,175.19406867506154,-32.14992957962224,0.8458380863324066,CONTINUAR
47,175.19406867506154,1100.0,176.01517672417862,-31.233003068937066,0.8211080491170719,CONTINUAR
48,176.01517672417862,1100.0,176.8121784396963,-30.337807235867828,0.7970017155176947,CONTINUAR
49,176.8121784396963,1100.0,177.58568796454946,-29.464098853257696,0.7735095248531536,CONTINUAR
50,177.58568796454946,1100.0,178.336309615358,-28.611618990048072,0.7506216508085402,CONTINUAR
51,178.336309615358,1100.0,179.0646376517881,-27.78009449016419,0.7283280364300992,CONTINUAR
52,179.0646376517881,1100.0,179.7712560789729,-26.969239384476893,0.7066184271847931,CONTINUAR
53,179.7712560789729,1100.0,180.45673848110366,-26.178756236228978,0.6854824021307593,CONTINUAR
54,180.45673848110366,1100.0,181.1216478843538,-25.408337420578476,0.6649094032501353,CONTINUAR
55,181.1216478843538,1100.0,181.76653664735147,-24.657666339147525,0.6448887629976809,CONTINUAR
56,181.76653664735147,1100.0,182.39194637747306,-23.926418570671842,0.6254097301215893,CONTINUAR
57,182.39194637747306,1100.0,182.9984078712882,-23.214262959025746,0.6064614938151465,CONTINUAR
58,182.9984078712882,1100.0,183.58644107754733,-22.520862640052968,0.5880332062591265,CONTINUAR
59,183.58644107754733,1100.0,184.15655508116305,-21.845876008765174,0.5701140036157142,CONTINUAR
60,184.15655508116305,1100.0,184.7092481066987,-21.18895762858051,0.5526930255356604,CONTINUAR
61,184.7092481066987,1100.0,185.24500753993902,-20.549759084365363,0.5357594332403153,CONTINUAR
62,185.24500753993902,1100.0,185.76430996617938,-19.927929781114116,0.5193024262403583,CONTINUAR
63,185.76430996617938,1100.0,186.26762122393214,-19.323117690157744,0.5033112577527561,CONTINUAR
64,186.26762122393214,1100.0,186.7553964728087,-18.73497004483181,0.48777524887657364,CONTINUAR
65,186.7553964728087,1100.0,187.22808027439595,-18.163133987562176,0.47268380158723744,CONTINUAR
66,187.22808027439595,1100.0,187.6861066850045,-17.607257170339537,0.45802641060853944,CONTINUAR
67,187.6861066850045,1100.0,188.1298993592243,-17.066988310557775,0.4437926742198215,CONTINUAR
68,188.1298993592243,1100.0,188.55987166327913,-16.54197770418402,0.42997230405481446,CONTINUAR
69,188.55987166327913,1100.0,188.97642679722534,-16.03187769821311,0.41655513394621835,CONTINUAR
70,188.97642679722534,1100.0,189.37995792509548,-15.536343124334962,0.40353112787013856,CONTINUAR
71,189.37995792509548,1100.0,189.77084831213722,-15.055031695713637,0.3908903870417362,CONTINUAR
72,189.77084831213722,1100.0,190.14947146834834,-14.58760436874212,0.37862315621111975,CONTINUAR
73,190.14947146834834,1100.0,190.5161912975575,-14.133725671593211,0.3667198292091598,CONTINUAR
74,190.5161912975575,1100.0,190.87136225134512,-13.693064001345817,0.35517095378762065,CONTINUAR
75,190.87136225134512,1100.0,191.21532948714517,-13.265291891412915,0.34396723580005073,CONTINUAR
76,191.21532948714517,1100.0,191.5484290299096,-12.850086250950383,0.33309954276444387,CONTINUAR
77,191.5484290299096,1100.0,191.87098793675915,-12.44712857786925,0.3225589068495367,CONTINUAR
78,191.87098793675915,1100.0,192.18332446408317,-12.056105147019494,0.31233652732402106,CONTINUAR
79,192.18332446408317,1100.0,192.48574823658794,-11.676707175057913,0.30242377250476693,CONTINUAR
80,192.48574823658794,1100.0,192.7785604178289,-11.30863096345368,0.29281218124097563,CONTINUAR
81,192.7785604178289,1100.0,193.06205388179606,-10.951578021029093,0.28349346396714736,CONTINUAR
82,193.06205388179606,1100.0,193.33651338515395,-10.605255167372945,0.27445950335788893,CONTINUAR
83,193.33651338515395,1100.0,193.60221573976784,-10.269374618409415,0.265702354613893,CONTINUAR
84,193.60221573976784,1100.0,193.85942998517723,-9.943654055344837,0.2572142454093864,CONTINUAR
85,193.85942998517723,1100.0,194.10841756070448,-9.627816678161793,0.24898757552725215,CONTINUAR
86,194.10841756070448,1100.0,194.34943247691282,-9.321591244771156,0.2410149162083428,CONTINUAR
87,194.34943247691282,1100.0,194.5827214861521,-9.02471209688099,0.23328900923928586,CONTINUAR
88,194.5827214861521,1100.0,194.8085242519539,-8.736919173586955,0.22580276580180225,CONTINUAR
89,194.8085242519539,1100.0,195.02707351705885,-8.457958013636357,0.2185492651049401,CONTINUAR
90,195.02707351705885,1100.0,195.23859526988008,-8.18757974726961,0.21152175282122698,CONTINUAR
91,195.23859526988008,1100.0,195.44330890922535,-7.925541078491932,0.20471363934527176,CONTINUAR
92,195.44330890922535,1100.0,195.64142740711833,-7.67160425858242,0.19811849789297753,CONTINUAR
93,195.64142740711833,1100.0,195.83315746957686,-7.425537051601509,0.1917300624585323,CONTINUAR
94,195.83315746957686,1100.0,196.0186996952214,-7.187112692613255,0.18554222564452516,CONTINUAR
95,196.0186996952214,1100.0,196.19824873160115,-6.9561098392982785,0.17954903637976827,CONTINUAR
96,196.19824873160115,1100.0,196.37199342914036,-6.7323125175909695,0.17374469753920607,CONTINUAR
97,196.37199342914036,1100.0,196.5401169926185,-6.515510061936311,0.16812356347813306,CONTINUAR
98,196.5401169926185,1100.0,196.70279713011138,-6.305497050725421,0.16268013749288457,CONTINUAR
99,196.70279713011138,1100.0,196.86020619933035,-6.102073237431,0.15740906921897135,CONTINUAR
100,196.86020619933035,1100.0,197.01251135130718,-5.905043477933333,0.15230515197683303,CONTINUAR
101,197.01251135130718,1100.0,197.1598746713826,-5.714217654491705,0.14736332007541364,CONTINUAR
102,197.1598746713826,1100.0,197.3024533174636,-5.529410596788011,0.1425786460810059,CONTINUAR
103,197.3024533174636,1100.0,197.44039965552477,-5.350442000438534,0.13794633806116963,CONTINUAR
104,197.44039965552477,1100.0,197.57386139233444,-5.177136343343307,0.13346173680966444,CONTINUAR
105,197.57386139233444,1100.0,197.70298170539496,-5.009322800214932,0.1291203130605254,CONTINUAR
106,197.70298170539496,1100.0,197.8278993700918,-4.846835155604708,0.12491766469685217,CONTINUAR
107,197.8278993700918,1100.0,197.94874888405238,-4.689511715720613,0.12084951396056454,CONTINUAR
108,197.94874888405238,1100.0,198.06566058872042,-4.537195219308131,0.11691170466804124,CONTINUAR
109,198.06566058872042,1100.0,198.17876078815715,-4.389732747846097,0.11310019943672955,CONTINUAR
110,198.17876078815715,1100.0,198.28817186508465,-4.246975635286844,0.10941107692750052,CONTINUAR
